"","city","county_name"
"1","La Quinta","Riverside"
"2","Saint Helena","Napa"
"3","Burney","Shasta"
"4","Kensington","Contra Costa"
"5","Upper Lake","Lake"
"6","Pleasant Hill","Contra Costa"
"7","Leggett","Mendocino"
"8","Pomona","Los Angeles"
"9","Fieldbrook","Humboldt"
"10","Oakdale","Stanislaus"
"11","Thermalito","Butte"
"12","Knights Landing","Yolo"
"13","Big Oak Flat","Tuolumne"
"14","Guerneville","Sonoma"
"15","Upland","San Bernardino"
"16","Riverbank","Stanislaus"
"17","Waterloo","San Joaquin"
"18","Montrose","Los Angeles"
"19","Industry","Los Angeles"
"20","Jacumba Hot Springs","San Diego"
"21","Amador City","Amador"
"22","Brea","Orange"
"23","Bella Vista","Shasta"
"24","San Jacinto","Riverside"
"25","Redding","Shasta"
"26","Exeter","Tulare"
"27","Goshen","Tulare"
"28","Templeton","San Luis Obispo"
"29","East Nicolaus","Sutter"
"30","Hercules","Contra Costa"
"31","Johnsville","Plumas"
"32","Biola","Fresno"
"33","Moorpark","Ventura"
"34","Windsor","Sonoma"
"35","El Monte","Los Angeles"
"36","Calistoga","Napa"
"37","Bucks Lake","Plumas"
"38","Wilseyville","Calaveras"
"39","Igo","Shasta"
"40","Hat Creek","Shasta"
"41","Mesa Verde","Riverside"
"42","Sebastopol","Sonoma"
"43","Avery","Calaveras"
"44","McKittrick","Kern"
"45","Clearlake","Lake"
"46","Sawyers Bar","Siskiyou"
"47","Irwin","Merced"
"48","Burbank","Los Angeles"
"49","Discovery Bay","Contra Costa"
"50","North San Juan","Nevada"
"51","Rancho Santa Margarita","Orange"
"52","Komandorski Village","Alameda"
"53","Casa Conejo","Ventura"
"54","South Whittier","Los Angeles"
"55","Manhattan Beach","Los Angeles"
"56","Green Valley","Los Angeles"
"57","Orleans","Humboldt"
"58","Quincy","Plumas"
"59","Ignacio","Marin"
"60","Rolling Hills","Los Angeles"
"61","Leona Valley","Los Angeles"
"62","Valley Ford","Sonoma"
"63","Kelso","San Bernardino"
"64","Pope Valley","Napa"
"65","Montgomery Creek","Shasta"
"66","Orangevale","Sacramento"
"67","Ahwahnee","Madera"
"68","Hacienda Heights","Los Angeles"
"69","Vernon","Los Angeles"
"70","Corning","Tehama"
"71","Maywood","Los Angeles"
"72","La Habra Heights","Los Angeles"
"73","Thousand Palms","Riverside"
"74","Angwin","Napa"
"75","Centerville","Fresno"
"76","East Palo Alto","San Mateo"
"77","Mount Hermon","Santa Cruz"
"78","Forestville","Sonoma"
"79","South San Gabriel","Los Angeles"
"80","Valley Acres","Kern"
"81","Westhaven","Humboldt"
"82","Del Mar","San Diego"
"83","Lakewood","Los Angeles"
"84","Interlaken","Santa Cruz"
"85","Irvine","Orange"
"86","Woodacre","Marin"
"87","Windsor Hills","Los Angeles"
"88","Miranda","Humboldt"
"89","Greenview","Siskiyou"
"90","Nevada City","Nevada"
"91","Sunset Beach","Orange"
"92","Big Lagoon","Humboldt"
"93","Silver Lakes","San Bernardino"
"94","Sunnymead","Riverside"
"95","Buckhorn","Amador"
"96","Topanga","Los Angeles"
"97","Norco","Riverside"
"98","Knightsen","Contra Costa"
"99","Maxwell","Colusa"
"100","Rocklin","Placer"
"101","Carmel Valley Village","Monterey"
"102","Cameron Park","El Dorado"
"103","Salinas","Monterey"
"104","West Rancho Dominguez","Los Angeles"
"105","Poplar","Tulare"
"106","Pinehurst","Fresno"
"107","San Miguel","San Luis Obispo"
"108","Goffs","San Bernardino"
"109","Newark","Alameda"
"110","Apple Valley","San Bernardino"
"111","Del Rosa","San Bernardino"
"112","Bell Gardens","Los Angeles"
"113","Lodi","San Joaquin"
"114","Montague","Siskiyou"
"115","Foster City","San Mateo"
"116","Orcutt","Santa Barbara"
"117","Ladera","San Mateo"
"118","Vallejo","Solano"
"119","Vidal","San Bernardino"
"120","Challenge","Yuba"
"121","La Riviera","Sacramento"
"122","Indio","Riverside"
"123","Jamul","San Diego"
"124","Foresthill","Placer"
"125","Rainbow","San Diego"
"126","Redcrest","Humboldt"
"127","Cromberg","Plumas"
"128","Hodge","San Bernardino"
"129","Tiburon","Marin"
"130","Hesperia","San Bernardino"
"131","Jamestown","Tuolumne"
"132","Azusa","Los Angeles"
"133","Narod","San Bernardino"
"134","Big Bear Lake","San Bernardino"
"135","Yosemite Lakes","Madera"
"136","Morongo Valley","San Bernardino"
"137","Concow","Butte"
"138","Helendale","San Bernardino"
"139","Fall River Mills","Shasta"
"140","Emeryville","Alameda"
"141","Fairhaven","Humboldt"
"142","Elverta","Sacramento"
"143","Paradise Park","Santa Cruz"
"144","Aspen Springs","Mono"
"145","Hollister","San Benito"
"146","Fair Oaks","Sacramento"
"147","Vina","Tehama"
"148","Brooktrails","Mendocino"
"149","Whitethorn","Humboldt"
"150","Meiners Oaks","Ventura"
"151","Paskenta","Tehama"
"152","Winter Gardens","San Diego"
"153","Tupman","Kern"
"154","Cherokee","Butte"
"155","Sand City","Monterey"
"156","Rancho Santa Fe","San Diego"
"157","Buellton","Santa Barbara"
"158","Waterford","Stanislaus"
"159","Silverado","Orange"
"160","Golden Hills","Kern"
"161","Dorrington","Calaveras"
"162","Standish","Lassen"
"163","Loleta","Humboldt"
"164","McKinleyville","Humboldt"
"165","Cathedral City","Riverside"
"166","Minkler","Fresno"
"167","Pike","Sierra"
"168","Pine Flat","Tulare"
"169","Rolinda","Fresno"
"170","Hinkley","San Bernardino"
"171","Dos Rios","Mendocino"
"172","Weedpatch","Kern"
"173","Cayucos","San Luis Obispo"
"174","Fallbrook","San Diego"
"175","Emerald Bay","Orange"
"176","Buena Park","Orange"
"177","Panorama Heights","Orange"
"178","Trinidad","Humboldt"
"179","Farmington","San Joaquin"
"180","Mono Vista","Tuolumne"
"181","Shore Acres","Contra Costa"
"182","Saranap","Contra Costa"
"183","Kelseyville","Lake"
"184","Lakeport","Lake"
"185","Castle Park","San Diego"
"186","Omo Ranch","El Dorado"
"187","Williams","Colusa"
"188","West Athens","Los Angeles"
"189","Santa Ana Heights","Orange"
"190","Pinedale","Fresno"
"191","El Segundo","Los Angeles"
"192","Forbestown","Butte"
"193","Paso Robles","San Luis Obispo"
"194","Los Altos","Santa Clara"
"195","Bakersfield","Kern"
"196","Black Point","Marin"
"197","Cutler","Tulare"
"198","San Bernardino","San Bernardino"
"199","Long Barn","Tuolumne"
"200","June Lake","Mono"
"201","Walnut Grove","Sacramento"
"202","Encinitas","San Diego"
"203","Rubidoux","Riverside"
"204","Loomis","Placer"
"205","Trowbridge","Sutter"
"206","Santa Fe Springs","Los Angeles"
"207","Twain","Plumas"
"208","Eldridge","Sonoma"
"209","Old Station","Shasta"
"210","Paradise","Butte"
"211","Granite Bay","Placer"
"212","Covelo","Mendocino"
"213","American Canyon","Napa"
"214","El Centro","Imperial"
"215","Whittier","Los Angeles"
"216","Spring Garden","Plumas"
"217","Pacheco","Contra Costa"
"218","Cowan Heights","Orange"
"219","Millville","Shasta"
"220","East Orosi","Tulare"
"221","Almonte","Marin"
"222","Eagleville","Modoc"
"223","Soda Springs","Nevada"
"224","Pine Hills","Humboldt"
"225","Washington","Nevada"
"226","Duarte","Los Angeles"
"227","Rockport","Mendocino"
"228","Three Rivers","Tulare"
"229","Sanger","Fresno"
"230","Chula Vista","San Diego"
"231","Indianola","Humboldt"
"232","Mammoth Lakes","Mono"
"233","Dustin Acres","Kern"
"234","Jackson","Amador"
"235","Di Giorgio","Kern"
"236","Phoenix Lake","Tuolumne"
"237","Adelanto","San Bernardino"
"238","China Lake Acres","Kern"
"239","Vinton","Plumas"
"240","Rio Del Mar","Santa Cruz"
"241","Fort Jones","Siskiyou"
"242","Conejo","Fresno"
"243","Twentynine Palms","San Bernardino"
"244","Mount Laguna","San Diego"
"245","Rail Road Flat","Calaveras"
"246","Sutter","Sutter"
"247","Cleone","Mendocino"
"248","Caribou","Plumas"
"249","Zayante","Santa Cruz"
"250","Cupertino","Santa Clara"
"251","Tennant","Siskiyou"
"252","Terra Bella","Tulare"
"253","Stratford","Kings"
"254","Charter Oak","Los Angeles"
"255","Dollar Point","Placer"
"256","Edgemont","Riverside"
"257","Palm Springs","Riverside"
"258","Mettler","Kern"
"259","Trona","San Bernardino"
"260","Fullerton","Orange"
"261","Coto De Caza","Orange"
"262","Applegate","Placer"
"263","Lompoc","Santa Barbara"
"264","Tuttletown","Tuolumne"
"265","East Richmond Heights","Contra Costa"
"266","Victorville","San Bernardino"
"267","Desert Shores","Imperial"
"268","Hiouchi","Del Norte"
"269","Idyllwild","Riverside"
"270","Crescent City","Del Norte"
"271","Riverdale Park","Stanislaus"
"272","Mariposa","Mariposa"
"273","East Oakdale","Stanislaus"
"274","Anaheim","Orange"
"275","Coronado","San Diego"
"276","Laytonville","Mendocino"
"277","Westend","San Bernardino"
"278","Wasco","Kern"
"279","Fillmore","Ventura"
"280","Delano","Kern"
"281","Campbell","Santa Clara"
"282","Lynwood","Los Angeles"
"283","Winterhaven","Imperial"
"284","Lake Almanor Peninsula","Plumas"
"285","Hood","Sacramento"
"286","Palm Desert","Riverside"
"287","Temecula","Riverside"
"288","Irwindale","Los Angeles"
"289","Los Gatos","Santa Clara"
"290","Big Bend","Shasta"
"291","Arrowbear Lake","San Bernardino"
"292","Clarksburg","Yolo"
"293","Bonny Doon","Santa Cruz"
"294","Tollhouse","Fresno"
"295","Georgetown","El Dorado"
"296","Mendota","Fresno"
"297","Trinity Center","Trinity"
"298","Benbow","Humboldt"
"299","Newman","Stanislaus"
"300","Furnace Creek","Inyo"
"301","Eucalyptus Hills","San Diego"
"302","Fairview","Alameda"
"303","Fetters Hot Springs","Sonoma"
"304","Freeport","Sacramento"
"305","Grayson","Stanislaus"
"306","San Anselmo","Marin"
"307","Kneeland","Humboldt"
"308","Ashland","Alameda"
"309","Big River","San Bernardino"
"310","Kerman","Fresno"
"311","Laguna Woods","Orange"
"312","Marina del Rey","Los Angeles"
"313","Graeagle","Plumas"
"314","Solromar","Ventura"
"315","Suncrest","San Diego"
"316","Indio Hills","Riverside"
"317","Pollock Pines","El Dorado"
"318","Loyola","Santa Clara"
"319","Rancho Calaveras","Calaveras"
"320","Westmorland","Imperial"
"321","Hidden Hills","Los Angeles"
"322","La Honda","San Mateo"
"323","Storrie","Plumas"
"324","Menlo Park","San Mateo"
"325","Corona","Riverside"
"326","Alamo","Contra Costa"
"327","Cherokee Strip","Kern"
"328","Walnut Creek","Contra Costa"
"329","Fresno","Fresno"
"330","Bootjack","Mariposa"
"331","Pasadena","Los Angeles"
"332","Hobergs","Lake"
"333","San Marcos","San Diego"
"334","Badger","Tulare"
"335","Milpitas","Santa Clara"
"336","Oakhurst","Madera"
"337","Hillsborough","San Mateo"
"338","Valley Home","Stanislaus"
"339","Tranquillity","Fresno"
"340","Wofford Heights","Kern"
"341","Three Rocks","Fresno"
"342","National City","San Diego"
"343","Diablo Grande","Stanislaus"
"344","Piedmont","Alameda"
"345","Malibu","Los Angeles"
"346","Aguanga","Riverside"
"347","Mayflower Village","Los Angeles"
"348","Casmalia","Santa Barbara"
"349","Lamont","Kern"
"350","Lake San Marcos","San Diego"
"351","Los Alamitos","Orange"
"352","Bieber","Lassen"
"353","Hawaiian Gardens","Los Angeles"
"354","Arcadia","Los Angeles"
"355","Rodeo","Contra Costa"
"356","Monta Vista","Santa Clara"
"357","Parksdale","Madera"
"358","West Point","Calaveras"
"359","Madison","Yolo"
"360","Yreka","Siskiyou"
"361","Denair","Stanislaus"
"362","Gustine","Merced"
"363","Dunnigan","Yolo"
"364","Clio","Plumas"
"365","Florin","Sacramento"
"366","Boulevard","San Diego"
"367","Pedley","Riverside"
"368","Scotland","San Bernardino"
"369","Fairfield","Solano"
"370","Crest","San Diego"
"371","Richfield","Tehama"
"372","Firebaugh","Fresno"
"373","Glen Avon","Riverside"
"374","Calexico","Imperial"
"375","Belden","Plumas"
"376","Porterville","Tulare"
"377","Mission Viejo","Orange"
"378","Redwood Terrace","San Mateo"
"379","Junction City","Trinity"
"380","Pleasanton","Alameda"
"381","Richgrove","Tulare"
"382","Vista","San Diego"
"383","Mount Shasta","Siskiyou"
"384","Green Acres","Riverside"
"385","Big Pine","Inyo"
"386","Gerber","Tehama"
"387","Carson","Los Angeles"
"388","Sleepy Hollow","San Bernardino"
"389","Borrego Springs","San Diego"
"390","Tuolumne City","Tuolumne"
"391","McArthur","Shasta"
"392","Hoopa","Humboldt"
"393","Tracy","San Joaquin"
"394","Arnold","Calaveras"
"395","Gardena","Los Angeles"
"396","Marinwood","Marin"
"397","North Auburn","Placer"
"398","Palo Alto","Santa Clara"
"399","Lomita","Los Angeles"
"400","Vine Hill","Contra Costa"
"401","Carnelian Bay","Placer"
"402","Clifton","Los Angeles"
"403","Graniteville","Nevada"
"404","McCloud","Siskiyou"
"405","Empire","Stanislaus"
"406","East Shore","Plumas"
"407","Meadow Valley","Plumas"
"408","Chino Hills","San Bernardino"
"409","Pacifica","San Mateo"
