,ï»¿COUNTY,CITY,ZIPCODE,VIOLATION_TYPE_NAME,ANALYTE_NAME,VIOL_BEGIN_DATE,VIOL_END_DATE
14,BUTTE,CHICO,95928,"MCL,  AVERAGE",ARSENIC,7/1/12,6/30/13
15,BUTTE,CHICO,95928,"MCL,  AVERAGE",ARSENIC,7/1/12,6/30/13
20,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
21,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
22,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
23,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
24,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
25,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
26,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
27,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
28,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/15,3/31/15
29,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/15,3/31/15
30,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
31,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
32,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
33,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
34,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
35,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
36,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
37,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
38,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
39,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
40,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/16,6/30/16
41,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/16,6/30/16
42,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
43,CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
44,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
45,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
46,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
47,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/15,3/30/15
48,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/15,3/30/15
49,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
50,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
51,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
52,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
53,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,3/1/16,6/30/16
54,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,3/1/16,6/30/16
55,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
56,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
57,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/17,3/31/17
58,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/17,3/31/17
59,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
60,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
61,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
62,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
63,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
64,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
65,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
66,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
67,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
68,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
69,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
70,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
71,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
72,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
73,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/13,9/30/13
74,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/13,9/30/13
75,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/13,6/30/13
76,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/13,6/30/13
77,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/13,3/31/13
78,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/13,3/31/13
79,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/17,6/30/17
80,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/17,6/30/17
81,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/17,9/30/17
82,CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/17,9/30/17
88,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
89,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
90,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
91,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
92,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
93,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
94,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
95,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
96,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
97,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
98,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
99,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
100,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
101,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
102,FRESNO,SHAVER LAKE,93664,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
