,ï»¿REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
12,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221008,"MCL,  AVERAGE",ARSENIC,.02580000 MG/L,0.010 MG/L,7/1/12,9/30/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
13,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221008,"MCL,  AVERAGE",ARSENIC,.02580000 MG/L,0.010 MG/L,7/1/12,9/30/12,9621007,2/27/18,RETURN TO COMPLIANCE
14,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221009,"MCL,  AVERAGE",ARSENIC,25.6 UG/L,10 UG/L,10/1/12,12/31/12,9621009,3/1/18,RETURN TO COMPLIANCE
15,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221009,"MCL,  AVERAGE",ARSENIC,25.6 UG/L,10 UG/L,10/1/12,12/31/12,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
16,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221010,"MCL,  AVERAGE",ARSENIC,24.7 UG/L,10 UG/L,1/1/13,3/31/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
17,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221010,"MCL,  AVERAGE",ARSENIC,24.7 UG/L,10 UG/L,1/1/13,3/31/13,9621009,3/1/18,RETURN TO COMPLIANCE
18,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221011,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,4/1/13,6/30/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
19,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221011,"MCL,  AVERAGE",ARSENIC,24.6 UG/L,10 UG/L,4/1/13,6/30/13,9621009,3/1/18,RETURN TO COMPLIANCE
20,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221012,"MCL,  AVERAGE",ARSENIC,25.2 UG/L,10 UG/L,7/1/13,9/30/13,921006,1/5/09,FORMAL ENFORCEMENT ACTION ISSUED
21,DISTRICT 21 - VALLEY,CA0600008,COLUSA CO. WWD #1 - GRIMES,COMMUNITY,381,123,COLUSA,GRIMES,95950,1221012,"MCL,  AVERAGE",ARSENIC,25.2 UG/L,10 UG/L,7/1/13,9/30/13,9621009,3/1/18,RETURN TO COMPLIANCE
