"","city","county_name","lat","lng","zips"
"1","La Quinta","Riverside",33.6537,-116.2785,"92253 92202 92247 92248"
"2","Saint Helena","Napa",38.5044,-122.4681,"94574"
"3","Burney","Shasta",40.8849,-121.6699,"96013"
"4","Kensington","Contra Costa",37.9084,-122.2805,"94708 94707"
"5","Upper Lake","Lake",39.1653,-122.9052,"95485"
"6","Pleasant Hill","Contra Costa",37.954,-122.0759,"94523"
"7","Leggett","Mendocino",39.8635,-123.7253,"95585"
"8","Pomona","Los Angeles",34.0585,-117.7625,"91766 91767 91768 91769"
"9","Fieldbrook","Humboldt",40.9722,-124.025,"95519"
"10","Oakdale","Stanislaus",37.762,-120.8463,"95361"
"11","Thermalito","Butte",39.4909,-121.6149,"95965"
"12","Knights Landing","Yolo",38.7979,-121.7176,"95645"
"13","Big Oak Flat","Tuolumne",37.8235,-120.2582,"95305"
"14","Guerneville","Sonoma",38.5137,-122.9894,"95446 95471"
"15","Upland","San Bernardino",34.1178,-117.6603,"91784 91786 91785"
"16","Riverbank","Stanislaus",37.7269,-120.9406,"95367"
"17","Waterloo","San Joaquin",38.0365,-121.1846,"95215"
"18","Montrose","Los Angeles",34.2064,-118.2242,"91020"
"19","Industry","Los Angeles",34.0175,-117.9268,"91748 91746 91789 91745 91744 91714 91715"
"20","Jacumba Hot Springs","San Diego",32.6277,-116.1827,"91934"
"21","Amador City","Amador",38.4189,-120.8236,"95601 95685"
"22","Brea","Orange",33.9255,-117.8654,"92821 92823 92822"
"23","Bella Vista","Shasta",40.6502,-122.245,"96008 96003"
"24","San Jacinto","Riverside",33.797,-116.9915,"92583 92582 92581"
"25","Redding","Shasta",40.5698,-122.365,"96002 96003 96001"
"26","Exeter","Tulare",36.294,-119.1459,"93221"
"27","Goshen","Tulare",36.3518,-119.421,"93291 93227"
"28","Templeton","San Luis Obispo",35.556,-120.7182,"93446 93465"
"29","East Nicolaus","Sutter",38.91,-121.5443,"95659"
"30","Hercules","Contra Costa",38.0064,-122.2564,"94547 94553"
"31","Johnsville","Plumas",39.7663,-120.713,"96103"
"32","Biola","Fresno",36.7999,-120.0212,"93606 93630"
"33","Moorpark","Ventura",34.2855,-118.877,"93021 93020"
"34","Windsor","Sonoma",38.5417,-122.8086,"95492"
"35","El Monte","Los Angeles",34.0739,-118.0291,"91732 91731 91733 91734 91735"
"36","Calistoga","Napa",38.5817,-122.5825,"94515"
"37","Bucks Lake","Plumas",39.8798,-121.1941,"95956"
"38","Wilseyville","Calaveras",38.3791,-120.5146,"95257"
"39","Igo","Shasta",40.5054,-122.5417,"96047"
"40","Hat Creek","Shasta",40.8101,-121.4809,"96040"
"41","Mesa Verde","Riverside",33.5958,-114.7319,"92225"
"42","Sebastopol","Sonoma",38.4001,-122.8277,"95472 95473"
"43","Avery","Calaveras",38.1939,-120.379,"95233 95224"
"44","McKittrick","Kern",35.2981,-119.6249,"93251"
"45","Clearlake","Lake",38.959,-122.6331,"95422 95424"
"46","Sawyers Bar","Siskiyou",41.2974,-123.1303,"96027"
"47","Irwin","Merced",37.3969,-120.8499,"95324"
"48","Burbank","Los Angeles",34.188,-118.3234,"91506 91504 91505 91502 91501 91503 91507 91508 91510 91521 91522 91523 91526"
"49","Discovery Bay","Contra Costa",37.9064,-121.5985,"94505"
"50","North San Juan","Nevada",39.3719,-121.106,"95960"
"51","Rancho Santa Margarita","Orange",33.6318,-117.5989,"92679 92688"
"52","Komandorski Village","Alameda",37.716,-121.9088,"94568"
"53","Casa Conejo","Ventura",34.1848,-118.9445,"91320"
"54","South Whittier","Los Angeles",33.9336,-118.0311,"90604 90605"
"55","Manhattan Beach","Los Angeles",33.8895,-118.3972,"90266 90267"
"56","Green Valley","Los Angeles",34.6172,-118.4059,"91390"
"57","Orleans","Humboldt",41.3015,-123.5412,"95556"
"58","Quincy","Plumas",39.931,-120.9548,"95971"
"59","Ignacio","Marin",38.0702,-122.5386,"94949"
"60","Rolling Hills","Los Angeles",33.76,-118.3471,"90274"
"61","Leona Valley","Los Angeles",34.6147,-118.299,"93551"
"62","Valley Ford","Sonoma",38.3246,-122.9148,"94952 94922"
"63","Kelso","San Bernardino",35.0125,-115.6536,"92332"
"64","Pope Valley","Napa",38.6152,-122.4278,"94574"
"65","Montgomery Creek","Shasta",40.8415,-121.9215,"96065 96084"
"66","Orangevale","Sacramento",38.688,-121.2208,"95662"
"67","Ahwahnee","Madera",37.3653,-119.7194,"93601 93644"
"68","Hacienda Heights","Los Angeles",33.997,-117.9728,"91745 91716"
"69","Vernon","Los Angeles",34.0019,-118.2106,"90058"
"70","Corning","Tehama",39.9282,-122.182,"96021"
"71","Maywood","Los Angeles",33.9885,-118.1877,"90270"
"72","La Habra Heights","Los Angeles",33.9603,-117.9509,"90631"
"73","Thousand Palms","Riverside",33.815,-116.3545,"92276"
"74","Angwin","Napa",38.5776,-122.4512,"94508"
"75","Centerville","Fresno",36.7361,-119.4961,"93657"
"76","East Palo Alto","San Mateo",37.4671,-122.1347,"94303"
"77","Mount Hermon","Santa Cruz",37.0511,-122.0532,"95018 95066 95041"
"78","Forestville","Sonoma",38.4825,-122.8899,"95436"
"79","South San Gabriel","Los Angeles",34.0489,-118.0962,"91770"
"80","Valley Acres","Kern",35.2087,-119.4106,"93268"
"81","Westhaven","Humboldt",41.036,-124.1112,"95570"
"82","Del Mar","San Diego",32.9633,-117.2627,"92014"
"83","Lakewood","Los Angeles",33.8471,-118.1222,"90715 90712 90713 90711 90714"
"84","Interlaken","Santa Cruz",36.9505,-121.7363,"95076"
"85","Irvine","Orange",33.6772,-117.7738,"92617 92614 92612 92618 92620 92602 92603 92604 92606 92616 92619 92623 92650 92697 92698"
"86","Woodacre","Marin",38.0052,-122.6384,"94973"
"87","Windsor Hills","Los Angeles",33.9889,-118.354,"90043"
"88","Miranda","Humboldt",40.2289,-123.8173,"95553"
"89","Greenview","Siskiyou",41.5471,-122.9185,"96037"
"90","Nevada City","Nevada",39.2608,-121.0231,"95959"
"91","Sunset Beach","Orange",33.7164,-118.069,"90742"
"92","Big Lagoon","Humboldt",41.1592,-124.1303,"95570"
"93","Silver Lakes","San Bernardino",34.7519,-117.3431,"92342"
"94","Sunnymead","Riverside",33.94,-117.2437,"92553"
"95","Buckhorn","Amador",38.4532,-120.5354,"95666 95644"
"96","Topanga","Los Angeles",34.0964,-118.6053,"90290"
"97","Norco","Riverside",33.9253,-117.55,"92860"
"98","Knightsen","Contra Costa",37.9633,-121.6511,"94548 94513"
"99","Maxwell","Colusa",39.2771,-122.1946,"95955"
"100","Rocklin","Placer",38.8078,-121.2491,"95677 95765"
"101","Carmel Valley Village","Monterey",36.4824,-121.7198,"93924 93922"
"102","Cameron Park","El Dorado",38.6733,-120.9871,"95682 95672"
"103","Salinas","Monterey",36.6881,-121.6316,"93901 93905 93906 93902 93915"
"104","West Rancho Dominguez","Los Angeles",33.9057,-118.2682,"90248 90061 90059 90220"
"105","Poplar","Tulare",36.0533,-119.1432,"93258"
"106","Pinehurst","Fresno",36.6952,-119.0165,"93641"
"107","San Miguel","San Luis Obispo",35.7534,-120.6925,"93451"
"108","Goffs","San Bernardino",34.9192,-115.0628,"92332"
"109","Newark","Alameda",37.5204,-122.0312,"94560"
"110","Apple Valley","San Bernardino",34.5329,-117.2102,"92308 92307"
"111","Del Rosa","San Bernardino",34.1489,-117.2434,"92346"
"112","Bell Gardens","Los Angeles",33.9663,-118.155,"90201 90202"
"113","Lodi","San Joaquin",38.1218,-121.2933,"95240 95242"
"114","Montague","Siskiyou",41.7275,-122.5302,"96064"
"115","Foster City","San Mateo",37.5553,-122.2659,"94404"
"116","Orcutt","Santa Barbara",34.8668,-120.4269,"93455 93457"
"117","Ladera","San Mateo",37.3996,-122.1991,"94028"
"118","Vallejo","Solano",38.1134,-122.2359,"94592 94591 94589 94590"
"119","Vidal","San Bernardino",34.1189,-114.5102,"92280"
"120","Challenge","Yuba",39.4874,-121.2236,"95925"
"121","La Riviera","Sacramento",38.5684,-121.3544,"95827 95826"
"122","Indio","Riverside",33.7346,-116.2347,"92241 92201 92203"
"123","Jamul","San Diego",32.7184,-116.8709,"91978 91935 92022"
"124","Foresthill","Placer",39.0053,-120.8314,"95631"
"125","Rainbow","San Diego",33.4098,-117.1394,"92028"
"126","Redcrest","Humboldt",40.3987,-123.9474,"95569"
"127","Cromberg","Plumas",39.8684,-120.6905,"96103"
"128","Hodge","San Bernardino",34.8155,-117.1934,"92311"
"129","Tiburon","Marin",37.8853,-122.4636,"94920"
"130","Hesperia","San Bernardino",34.3974,-117.3144,"92345 92344 92340"
"131","Jamestown","Tuolumne",37.9572,-120.4111,"95327"
"132","Azusa","Los Angeles",34.1386,-117.9124,"91702 91010"
"133","Narod","San Bernardino",34.0581,-117.6845,"91762"
"134","Big Bear Lake","San Bernardino",34.243,-116.8955,"92315"
"135","Yosemite Lakes","Madera",37.1886,-119.7723,"93614"
"136","Morongo Valley","San Bernardino",34.0724,-116.5627,"92256"
"137","Concow","Butte",39.7733,-121.5196,"95965"
"138","Helendale","San Bernardino",34.7439,-117.3245,"92342"
"139","Fall River Mills","Shasta",41.0069,-121.4401,"96028"
"140","Emeryville","Alameda",37.8382,-122.2932,"94608 94662"
"141","Fairhaven","Humboldt",40.7884,-124.2014,"95564"
"142","Elverta","Sacramento",38.7185,-121.4455,"95626"
"143","Paradise Park","Santa Cruz",37.0063,-122.0425,"95060"
"144","Aspen Springs","Mono",37.55,-118.7087,"93546"
"145","Hollister","San Benito",36.8564,-121.3981,"95023 95024"
