" 

NEW OFFICE IN WATSONVILLE, CA

We are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.","September 17, 2018","['Fresno', 'Watsonville', 'Porterville', 'Sacramento', 'Visalia']","['Sacramento', 'Fresno']",August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
"Bartolo Chavez of Arvin, CA has drinking water contaminated by carcinogenic pesticide byproduct 1,2,3-TCP and arsenic.","September 06, 2018",[],[],Justice Delayed - Community Water Center,https://www.communitywatercenter.org/justicedelayed
"Bartolo Chavez of Arvin, CA has drinking water contaminated by carcinogenic pesticide byproduct 1,2,3-TCP and arsenic.","September 06, 2018",[],[],Justice Delayed - Community Water Center,https://www.communitywatercenter.org/justicedelayed
"org #NoToxicTaps

1,2,3 - TCP

1,2,3-trichloropropane (1,2,3-TCP) is a man-made carcinogenic chemical that was added unnecessarily to a fumigant used in agriculture for many decades.","July 31, 2018","['Tulare', 'Doyle', 'Orosi', 'Orange', 'Porterville', 'Sacramento', 'Visalia']","['Kings', 'Tulare', 'Orange', 'Kern', 'Sacramento']",July 2018 eNews - Community Water Center,https://www.communitywatercenter.org/july_2018_enews
" Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.","October 24, 2017",[],[],Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
" Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.","October 24, 2017",[],[],Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
" Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.","October 24, 2017",[],[],Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
" The water in Alpaugh is contaminated by arsenic, and Meraz refuses to drink or cook with the water, resulting in her having to pay a large amount of money on bottled water, while still paying a monthly water bill.","October 01, 2017","['Arvin', 'Hanford', 'Alpaugh', 'Bakersfield']",['Kern'],San Joaquin Valley Op-Eds in Support of SB 623 - Community Water Center,https://www.communitywatercenter.org/op_ed_sb_623
" Arsenic contaminates the water of Arvin, and drinking water with arsenic has unforgiving consequences, including: respiratory illness, reduced mental functioning, and cancer.","October 01, 2017","['Arvin', 'Hanford', 'Alpaugh', 'Bakersfield']",['Kern'],San Joaquin Valley Op-Eds in Support of SB 623 - Community Water Center,https://www.communitywatercenter.org/op_ed_sb_623
" Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.","September 09, 2017",[],[],"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
" Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.","September 09, 2017",[],[],"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
" Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.","September 09, 2017",[],[],"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
" Some area's water containing over three times the maximum contaminant level (MCL) for arsenic and other known carcinogens, the recent threat of safe drinking water in schools has only recently come to light.","August 11, 2017",[],[],T is for Toxic: Danger Lurking in California School Drinking Fountains - Community Water Center,https://www.communitywatercenter.org/toxic_schools
" Some area's water containing over three times the maximum contaminant level (MCL) for arsenic and other known carcinogens, the recent threat of safe drinking water in schools has only recently come to light.","August 11, 2017",[],[],T is for Toxic: Danger Lurking in California School Drinking Fountains - Community Water Center,https://www.communitywatercenter.org/toxic_schools
