,phrase,contaminant,date,city,county,title,page_url
0," 

NEW OFFICE IN WATSONVILLE, CA

We are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.",nitrate,"September 17, 2018","['Fresno', 'Watsonville', 'Sacramento', 'Walker', 'San Joaquin', 'Visalia', 'Porterville']",[],August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
1,"Bartolo Chavez of Arvin, CA has drinking water contaminated by carcinogenic pesticide byproduct 1,2,3-TCP and arsenic.",carcinogenic,"September 06, 2018",['Arvin'],[],Justice Delayed - Community Water Center,https://www.communitywatercenter.org/justicedelayed
2,"Bartolo Chavez of Arvin, CA has drinking water contaminated by carcinogenic pesticide byproduct 1,2,3-TCP and arsenic.",arsenic,"September 06, 2018",['Arvin'],[],Justice Delayed - Community Water Center,https://www.communitywatercenter.org/justicedelayed
3,"org #NoToxicTaps

1,2,3 - TCP

1,2,3-trichloropropane (1,2,3-TCP) is a man-made carcinogenic chemical that was added unnecessarily to a fumigant used in agriculture for many decades.",carcinogenic,"July 31, 2018","['Fresno', 'San Diego', 'Sacramento', 'Orange', 'Walker', 'Doyle', 'Tulare', 'San Joaquin', 'Visalia', 'Orosi', 'Porterville', 'San Francisco', 'Los Angeles']","['Tulare', 'Kern']",July 2018 eNews - Community Water Center,https://www.communitywatercenter.org/july_2018_enews
4," Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.",arsenic,"October 24, 2017",[],[],Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
5," Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.",nitrate,"October 24, 2017",[],[],Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
6," Over 300 mostly rural and economically disadvantaged California communities have water that has dangerous levels of arsenic, uranium, or nitrates, which have drastic health implications.",nitrates,"October 24, 2017",[],[],Small Communities Can't Solve Toxic Water Problems Without Help - Community Water Center,https://www.communitywatercenter.org/toxic_water_problems
7," The water in Alpaugh is contaminated by arsenic, and Meraz refuses to drink or cook with the water, resulting in her having to pay a large amount of money on bottled water, while still paying a monthly water bill.",arsenic,"October 01, 2017","['Arvin', 'Bakersfield', 'Alpaugh', 'Hanford']",['Kern'],San Joaquin Valley Op-Eds in Support of SB 623 - Community Water Center,https://www.communitywatercenter.org/op_ed_sb_623
8," Arsenic contaminates the water of Arvin, and drinking water with arsenic has unforgiving consequences, including: respiratory illness, reduced mental functioning, and cancer.",arsenic,"October 01, 2017","['Arvin', 'Bakersfield', 'Alpaugh', 'Hanford']",['Kern'],San Joaquin Valley Op-Eds in Support of SB 623 - Community Water Center,https://www.communitywatercenter.org/op_ed_sb_623
9," Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.",arsenic,"September 09, 2017",[],[],"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
10," Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.",nitrate,"September 09, 2017",[],[],"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
11," Waiting until the next legislative session would leave hundreds of communities with unsafe tap water, contaminated with nitrates, arsenic, uranium, and other contaminants.",nitrates,"September 09, 2017",[],[],"FARMERS, ENVIRONMENTAL LEADERS URGE LEGISLATURE TO SUPPORT SAFE DRINKING WATER BILL  - Community Water Center",https://www.communitywatercenter.org/kvpr_sb623
12," Some area's water containing over three times the maximum contaminant level (MCL) for arsenic and other known carcinogens, the recent threat of safe drinking water in schools has only recently come to light.",carcinogens,"August 11, 2017",[],[],T is for Toxic: Danger Lurking in California School Drinking Fountains - Community Water Center,https://www.communitywatercenter.org/toxic_schools
13," Some area's water containing over three times the maximum contaminant level (MCL) for arsenic and other known carcinogens, the recent threat of safe drinking water in schools has only recently come to light.",arsenic,"August 11, 2017",[],[],T is for Toxic: Danger Lurking in California School Drinking Fountains - Community Water Center,https://www.communitywatercenter.org/toxic_schools
14,"org, 559-284-6327
 
FOR IMMEDIATE RELEASE (Sacramento, CA, July 18, 2017) — Today the State Water Resources Control Board voted to create a new legal limit, or maximum contaminant level (MCL), on 1,2,3-Trichloropropane (TCP), a man-made, carcinogenic drinking water contaminant found across the state.",carcinogenic,"July 24, 2017","['Fresno', 'Sacramento', 'Bakersfield', 'Davis', 'Ventura', 'Tulare', 'San Joaquin', 'Visalia']",['Tulare'],"PRESS RELEASE: State Votes to Protect Californians From Carcinogen, TCP  - Community Water Center",https://www.communitywatercenter.org/press_release_tcp
15,"” 
Hundreds of California communities are out of compliance with state and federal drinking water standards, and some communities have had arsenic flowing from their taps for more than a decade.",arsenic,"June 30, 2017","['Sacramento', 'Patterson']",[],California Budget Takes Steps to Address State’s Drinking Water Crisis - Community Water Center,https://www.communitywatercenter.org/2017_18cabudget
16,"3 million for the initial construction costs of an arsenic treatment plant, Lanare was left without funding for operation and maintenance.",arsenic,"June 13, 2017","['Lanare', 'Fresno']",[],"They Built It, But Couldn’t Afford To Run It—Clean Drinking Water Fight Focuses On Gaps In Funding - Community Water Center",https://www.communitywatercenter.org/they_built_it
17, Some communities have had arsenic flowing from their taps for over a decade.,arsenic,"May 22, 2017","['Sacramento', 'Davis']",[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
18," “But having arsenic, nitrate or pesticides flowing from your tap is equally an emergency.",arsenic,"May 22, 2017","['Sacramento', 'Davis']",[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
19,"
Arsenic, nitrate, and disinfectant byproducts are the most commonly occurring contaminants.",nitrate,"May 22, 2017","['Sacramento', 'Davis']",[],Governor's Revised Budget Does Not Adequately Address Drinking Water Crisis Affecting One Million Californians - Community Water Center,https://www.communitywatercenter.org/revisedbudget
