COUNTY,CITY,ZIPCODE,VIOLATION_TYPE_NAME,ANALYTE_NAME,VIOL_BEGIN_DATE,VIOL_END_DATE
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,8/1/12,8/31/12
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,8/1/12,8/31/12
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,11/1/12,11/30/12
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,11/1/12,11/30/12
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,12/1/12,12/31/12
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,12/1/12,12/31/12
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,12/1/12,12/31/12
AMADOR,IONE,95640,RES DISINFECT CONCENTRATION (SWTR),SWTR,12/1/12,12/31/12
AMADOR,PINE GROVE,95665,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),4/1/16,6/30/16
AMADOR,PINE GROVE,95665,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),4/1/16,6/30/16
AMADOR,PINE GROVE,95665,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),7/1/16,9/30/16
AMADOR,PINE GROVE,95665,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),7/1/16,9/30/16
AMADOR,PINE GROVE,95665,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),1/1/17,3/31/17
AMADOR,PINE GROVE,95665,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),1/1/17,3/31/17
BUTTE,CHICO,95928,"MCL,  AVERAGE",ARSENIC,7/1/12,6/30/13
BUTTE,CHICO,95928,"MCL,  AVERAGE",ARSENIC,7/1/12,6/30/13
BUTTE,CHICO,95973,"MCL,  AVERAGE",NITRATE-NITRITE,7/1/17,7/31/17
BUTTE,CHICO,95973,"MCL,  AVERAGE",NITRATE-NITRITE,7/1/17,7/31/17
CALAVERAS,ANGELS CAMP,95222,"MCL, LRAA",TTHM,7/1/15,9/30/15
CALAVERAS,ANGELS CAMP,95222,"MCL, LRAA",TTHM,7/1/15,9/30/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/15,3/31/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/15,3/31/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/16,6/30/16
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,4/1/16,6/30/16
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
CONTRA COSTA,KNIGHTSEN,94548,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/14,6/30/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/15,3/30/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/15,3/30/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/15,12/31/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/16,3/31/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,3/1/16,6/30/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,3/1/16,6/30/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/16,9/30/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/17,3/31/17
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/17,3/31/17
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/16,12/31/16
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/15,9/30/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/15,6/30/15
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/14,12/31/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/14,9/30/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/14,3/31/14
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,10/1/13,12/31/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/13,9/30/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/13,9/30/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/13,6/30/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/13,6/30/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/13,3/31/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,1/1/13,3/31/13
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/17,6/30/17
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,4/1/17,6/30/17
CONTRA COSTA,LIVERMORE,94550,"MCL,  AVERAGE",ARSENIC,7/1/17,9/30/17
